1700000100,alice,s1,COMMAND_EXEC,/bin/ls,3,1200
1700000105,bob,s2,DATA_TRANSFER,/var/log/sys,8,4500
1700000110,carol,s3,FILE_ACCESS,/etc/passwd,9,0
1700000115,dave,s4,COMMAND_EXEC,/bin/cat,2,600
1700000120,eric,s5,PERMISSION_DENIED,/root/secret,10,0
1700000125,alice,s1,DATA_TRANSFER,/home/alice/doc.txt,7,2200
1700000130,bob,s7,COMMAND_EXEC,/usr/bin/python,4,800
1700000135,carol,s8,FILE_ACCESS,/etc/shadow,9,0
1700000140,dave,s9,COMMAND_EXEC,/bin/mkdir,3,150
1700000145,eric,s10,DATA_TRANSFER,/var/www/file.zip,6,5200
1700000150,alice,s11,COMMAND_EXEC,/bin/grep,5,300
1700000155,bob,s12,FILE_ACCESS,/home/bob/conf.txt,4,0
1700000160,carol,s13,DATA_TRANSFER,/srv/db.bin,8,9000
1700000165,dave,s14,PERMISSION_DENIED,/etc/sudoers,10,0
1700000170,eric,s15,DATA_TRANSFER,/var/log/auth.log,7,3300
1700000175,alice,s16,COMMAND_EXEC,/usr/bin/vim,2,900
1700000180,bob,s17,FILE_ACCESS,/opt/app/config.yaml,5,0
1700000185,carol,s18,COMMAND_EXEC,/bin/chmod,6,120
1700000190,dave,s19,DATA_TRANSFER,/tmp/cache.bin,7,5000
1700000195,eric,s20,FILE_ACCESS,/root/.ssh/id_rsa,10,0
